filename,clean_width_mm,clean_class,shadowed_width_mm,shadowed_class,restored_width_mm,restored_class
00001,2.3323807579381204,Heavy Crack,18.539687160251656,Heavy Crack,2.863564212655271,Heavy Crack
00002,1.6,Medium Crack,16.786899654194638,Heavy Crack,2.08806130178211,Heavy Crack
00003,2.0,Medium Crack,16.401219466856727,Heavy Crack,2.8425340807103794,Heavy Crack
00004,2.1633307652783937,Heavy Crack,16.38169710378018,Heavy Crack,2.80713376952364,Heavy Crack
00005,1.6,Medium Crack,15.033296378372908,Heavy Crack,1.8439088914585775,Medium Crack
00006,1.4000000000000001,Medium Crack,16.840427548016706,Heavy Crack,1.7088007490635062,Medium Crack
00007,2.80713376952364,Heavy Crack,13.880922159568508,Heavy Crack,2.4413111231467406,Heavy Crack
00008,1.6,Medium Crack,17.538529014715003,Heavy Crack,1.8439088914585775,Medium Crack
00009,1.8973665961010278,Medium Crack,18.305190520723897,Heavy Crack,4.25205832509386,Heavy Crack
00010,1.4422205101855958,Medium Crack,14.167568598739871,Heavy Crack,8.515867542417508,Heavy Crack
00011,3.4525353003264136,Heavy Crack,16.19876538505327,Heavy Crack,3.0,Heavy Crack
00012,2.8284271247461903,Heavy Crack,14.120906486483083,Heavy Crack,2.3323807579381204,Heavy Crack
00013,1.8973665961010278,Medium Crack,14.818906842274163,Heavy Crack,2.039607805437114,Heavy Crack
00014,3.4525353003264136,Heavy Crack,15.769590990257166,Heavy Crack,2.4738633753705965,Heavy Crack
00015,1.4142135623730951,Medium Crack,19.180198122021576,Heavy Crack,2.973213749463701,Heavy Crack
00016,1.5231546211727818,Medium Crack,16.834488409215172,Heavy Crack,3.2062439083762797,Heavy Crack
00017,1.4000000000000001,Medium Crack,14.601369798755185,Heavy Crack,1.5231546211727818,Medium Crack
00018,1.788854381999832,Medium Crack,15.99624956044385,Heavy Crack,1.7088007490635062,Medium Crack
00019,0.6000000000000001,Light Crack,16.201234520862908,Heavy Crack,5.993329625508679,Heavy Crack
00020,0.632455532033676,Light Crack,17.64652940382329,Heavy Crack,2.280350850198276,Heavy Crack
00021,0.894427190999916,Light Crack,16.94461566398011,Heavy Crack,4.27551166528639,Heavy Crack
00022,0.8246211251235321,Light Crack,15.380507143784303,Heavy Crack,1.7088007490635062,Medium Crack
00023,2.505992817228334,Heavy Crack,16.601204775557708,Heavy Crack,6.20966987850401,Heavy Crack
00024,3.88329756778952,Heavy Crack,14.0356688476182,Heavy Crack,3.0265491900843116,Heavy Crack
00025,1.4142135623730951,Medium Crack,12.61269202034205,Heavy Crack,3.2249030993194197,Heavy Crack
00026,1.8,Medium Crack,12.963024338479043,Heavy Crack,1.264911064067352,Medium Crack
00027,1.0770329614269007,Medium Crack,8.032434251209281,Heavy Crack,1.2000000000000002,Medium Crack
00028,1.341640786499874,Medium Crack,15.047923444781345,Heavy Crack,1.6124515496597098,Medium Crack
00029,1.341640786499874,Medium Crack,12.902712893031449,Heavy Crack,1.6,Medium Crack
00030,1.2806248474865698,Medium Crack,14.042791745233567,Heavy Crack,1.4142135623730951,Medium Crack
00031,1.264911064067352,Medium Crack,13.978555004005242,Heavy Crack,1.4560219778561037,Medium Crack
00032,1.019803902718557,Medium Crack,12.626955294131678,Heavy Crack,1.1661903789690602,Medium Crack
00033,0.894427190999916,Light Crack,15.02664300500947,Heavy Crack,1.2806248474865698,Medium Crack
00034,0.7211102550927979,Light Crack,15.849290204927161,Heavy Crack,2.973213749463701,Heavy Crack
00035,1.6,Medium Crack,13.61322886019331,Heavy Crack,3.82099463490856,Heavy Crack
00036,1.4000000000000001,Medium Crack,16.459647626847907,Heavy Crack,1.788854381999832,Medium Crack
