filename,clean_width_mm,clean_class,blurred_width_mm,blurred_class,restored_width_mm,restored_class
00045,1.2000000000000002,Medium Crack,1.6,Medium Crack,1.6,Medium Crack
00046,1.2806248474865698,Medium Crack,1.788854381999832,Medium Crack,1.6,Medium Crack
00047,1.2806248474865698,Medium Crack,1.788854381999832,Medium Crack,1.788854381999832,Medium Crack
00048,1.2000000000000002,Medium Crack,1.5231546211727818,Medium Crack,2.23606797749979,Heavy Crack
00049,2.12602916254693,Heavy Crack,1.8973665961010278,Medium Crack,2.778488797889961,Heavy Crack
00050,2.12602916254693,Heavy Crack,1.8973665961010278,Medium Crack,2.3409399821439254,Heavy Crack
00051,0.8,Light Crack,0.0,Light Crack,1.6124515496597098,Medium Crack
00052,1.6124515496597098,Medium Crack,1.6,Medium Crack,2.23606797749979,Heavy Crack
00053,1.5231546211727818,Medium Crack,1.4142135623730951,Medium Crack,1.788854381999832,Medium Crack
00054,1.4142135623730951,Medium Crack,1.4000000000000001,Medium Crack,1.788854381999832,Medium Crack
00055,7.720103626247513,Heavy Crack,22.77981562699751,Heavy Crack,6.9656299069072,Heavy Crack
00056,7.3348483283569,Heavy Crack,15.33101431738944,Heavy Crack,6.881860213634102,Heavy Crack
00057,10.75174404457249,Heavy Crack,19.227064258487307,Heavy Crack,4.47213595499958,Heavy Crack
00058,6.896375859826667,Heavy Crack,23.48275963339914,Heavy Crack,3.82099463490856,Heavy Crack
00059,7.789736837660179,Heavy Crack,13.623509092741124,Heavy Crack,2.6,Heavy Crack
00060,5.015974481593782,Heavy Crack,8.683317338436964,Heavy Crack,4.2,Heavy Crack
00061,7.683749084919419,Heavy Crack,18.952572384771415,Heavy Crack,3.2,Heavy Crack
00062,7.655063683601856,Heavy Crack,12.258874336577565,Heavy Crack,5.6035702904487605,Heavy Crack
00063,9.915644204992432,Heavy Crack,12.32233744059949,Heavy Crack,4.525483399593905,Heavy Crack
00064,8.683317338436964,Heavy Crack,14.284257068535277,Heavy Crack,2.973213749463701,Heavy Crack
00065,6.4,Heavy Crack,16.92572007330855,Heavy Crack,3.405877273185281,Heavy Crack
00066,7.076722405181653,Heavy Crack,17.085666507338836,Heavy Crack,2.6,Heavy Crack
00067,10.742439201596628,Heavy Crack,18.880677953929517,Heavy Crack,3.0,Heavy Crack
00068,6.161168720299745,Heavy Crack,8.820430828479978,Heavy Crack,6.08276253029822,Heavy Crack
00069,8.072174428244226,Heavy Crack,16.601204775557708,Heavy Crack,2.8844410203711917,Heavy Crack
00070,8.411896337925237,Heavy Crack,13.42385935563987,Heavy Crack,3.1622776601683795,Heavy Crack
00071,12.003332870498927,Heavy Crack,19.276929216034386,Heavy Crack,2.4083189157584592,Heavy Crack
00072,7.696752561957543,Heavy Crack,13.274034804836095,Heavy Crack,2.60768096208106,Heavy Crack
00073,8.06225774829855,Heavy Crack,15.315351775261318,Heavy Crack,2.668332812825267,Heavy Crack
00074,7.96994353806851,Heavy Crack,14.422205101855958,Heavy Crack,2.9120439557122073,Heavy Crack
00075,11.030865786510141,Heavy Crack,22.7437903613272,Heavy Crack,2.4083189157584592,Heavy Crack
00076,6.905070600652827,Heavy Crack,13.47145129523913,Heavy Crack,2.668332812825267,Heavy Crack
00077,8.4,Heavy Crack,14.930505684671232,Heavy Crack,3.1240998703626617,Heavy Crack
00078,5.385164807134505,Heavy Crack,6.212889826803627,Heavy Crack,4.6173585522460785,Heavy Crack
00079,3.3105890714493698,Heavy Crack,3.88329756778952,Heavy Crack,3.2557641192199416,Heavy Crack
00080,3.3286633954186478,Heavy Crack,3.88329756778952,Heavy Crack,3.006659275674582,Heavy Crack
00081,4.0,Heavy Crack,4.720169488482379,Heavy Crack,4.294182110716778,Heavy Crack
00082,5.0,Heavy Crack,5.813776741499454,Heavy Crack,5.126402247190519,Heavy Crack
00083,2.433105012119288,Heavy Crack,4.049691346263318,Heavy Crack,2.039607805437114,Heavy Crack
00084,3.6715119501371642,Heavy Crack,4.753945729601885,Heavy Crack,3.3105890714493698,Heavy Crack
00085,3.2557641192199416,Heavy Crack,4.294182110716778,Heavy Crack,3.4000000000000004,Heavy Crack
00086,3.2310988842807022,Heavy Crack,4.604345773288535,Heavy Crack,2.95296461204668,Heavy Crack
00087,3.2557641192199416,Heavy Crack,4.237924020083418,Heavy Crack,2.973213749463701,Heavy Crack
00088,3.8418745424597094,Heavy Crack,9.783659846908009,Heavy Crack,2.973213749463701,Heavy Crack
00089,3.676955262170047,Heavy Crack,7.528612089887485,Heavy Crack,3.4176014981270124,Heavy Crack
00090,2.0,Medium Crack,2.973213749463701,Heavy Crack,2.3323807579381204,Heavy Crack
00091,2.2627416997969525,Heavy Crack,4.494441010848846,Heavy Crack,1.8,Medium Crack
00092,3.2249030993194197,Heavy Crack,8.0049984384758,Heavy Crack,2.60768096208106,Heavy Crack
00093,3.8470768123342687,Heavy Crack,12.880993750483695,Heavy Crack,2.720294101747089,Heavy Crack
00094,3.3286633954186478,Heavy Crack,8.440379138403676,Heavy Crack,2.8425340807103794,Heavy Crack
00095,3.3286633954186478,Heavy Crack,6.931089380465384,Heavy Crack,3.0,Heavy Crack
00096,5.90592922409336,Heavy Crack,8.357032966310472,Heavy Crack,6.053098380168623,Heavy Crack
00097,6.356099432828282,Heavy Crack,8.955445270895245,Heavy Crack,5.571355310873648,Heavy Crack
00098,4.951767361255979,Heavy Crack,8.221921916437786,Heavy Crack,3.1622776601683795,Heavy Crack
00099,4.118252056394801,Heavy Crack,7.011419257183242,Heavy Crack,2.720294101747089,Heavy Crack
00100,3.4176014981270124,Heavy Crack,5.3814496188294845,Heavy Crack,2.60768096208106,Heavy Crack
00101,2.6907248094147422,Heavy Crack,6.6573267908372955,Heavy Crack,2.280350850198276,Heavy Crack
00102,2.0,Medium Crack,4.204759208325728,Heavy Crack,2.0,Medium Crack
00103,2.9120439557122073,Heavy Crack,5.4,Heavy Crack,2.8284271247461903,Heavy Crack
00104,4.418144406874904,Heavy Crack,6.212889826803627,Heavy Crack,4.368065933568311,Heavy Crack
00105,2.12602916254693,Heavy Crack,5.203844732503075,Heavy Crack,2.4083189157584592,Heavy Crack
00106,6.0,Heavy Crack,6.603029607687671,Heavy Crack,6.013318551349164,Heavy Crack
00107,8.6,Heavy Crack,8.78635305459552,Heavy Crack,9.600000000000001,Heavy Crack
00108,8.089499366462674,Heavy Crack,8.54400374531753,Heavy Crack,7.602631123499285,Heavy Crack
00109,4.720169488482379,Heavy Crack,6.873136110975833,Heavy Crack,4.079215610874228,Heavy Crack
00110,4.0,Heavy Crack,6.603029607687671,Heavy Crack,3.7735924528226414,Heavy Crack
00111,4.404543109109048,Heavy Crack,11.560276813294742,Heavy Crack,4.294182110716778,Heavy Crack
00112,4.418144406874904,Heavy Crack,11.954915307102766,Heavy Crack,3.8052595180880893,Heavy Crack
00113,4.6173585522460785,Heavy Crack,16.560193235587562,Heavy Crack,2.8284271247461903,Heavy Crack
00114,4.565084884205331,Heavy Crack,8.485281374238571,Heavy Crack,2.973213749463701,Heavy Crack
00115,4.651881339845203,Heavy Crack,9.682974749528164,Heavy Crack,2.95296461204668,Heavy Crack
00116,6.873136110975833,Heavy Crack,17.82133552795637,Heavy Crack,2.863564212655271,Heavy Crack
00117,6.80294054067798,Heavy Crack,16.473008225579203,Heavy Crack,4.25205832509386,Heavy Crack
00118,5.720139858430037,Heavy Crack,12.720062892926277,Heavy Crack,4.560701700396552,Heavy Crack
00119,6.723094525588644,Heavy Crack,20.7171426601257,Heavy Crack,3.2557641192199416,Heavy Crack
00120,4.8373546489791295,Heavy Crack,16.41097193952875,Heavy Crack,3.3526109228480423,Heavy Crack
00121,7.4,Heavy Crack,17.88854381999832,Heavy Crack,3.82099463490856,Heavy Crack
00122,8.0,Heavy Crack,32.102959365142645,Heavy Crack,3.2557641192199416,Heavy Crack
00123,8.002499609497022,Heavy Crack,32.102959365142645,Heavy Crack,4.638965401897281,Heavy Crack
00124,9.4,Heavy Crack,17.3908021666627,Heavy Crack,4.804164859785725,Heavy Crack
00125,7.3348483283569,Heavy Crack,15.370100845472681,Heavy Crack,3.8418745424597094,Heavy Crack
00126,9.503683496413379,Heavy Crack,18.270194306574847,Heavy Crack,3.6055512754639896,Heavy Crack
00127,3.0528675044947495,Heavy Crack,4.404543109109048,Heavy Crack,3.130495168499706,Heavy Crack
00128,6.003332407921454,Heavy Crack,14.866068747318506,Heavy Crack,3.4176014981270124,Heavy Crack
00129,5.571355310873648,Heavy Crack,14.69965986001037,Heavy Crack,2.720294101747089,Heavy Crack
00130,7.2277243998370615,Heavy Crack,13.954210834009928,Heavy Crack,3.6055512754639896,Heavy Crack
00131,7.1693793315739685,Heavy Crack,13.416407864998739,Heavy Crack,4.9396356140913875,Heavy Crack
00132,6.887670143089025,Heavy Crack,14.042791745233567,Heavy Crack,4.651881339845203,Heavy Crack
00133,4.39089968002003,Heavy Crack,15.566630977832038,Heavy Crack,3.2557641192199416,Heavy Crack
00134,5.0,Heavy Crack,13.293607486307094,Heavy Crack,3.0265491900843116,Heavy Crack
00135,4.560701700396552,Heavy Crack,9.8812954616285,Heavy Crack,4.123105625617661,Heavy Crack
00136,3.0528675044947495,Heavy Crack,3.4000000000000004,Heavy Crack,3.394112549695428,Heavy Crack
00137,4.8166378315169185,Heavy Crack,13.695254652615994,Heavy Crack,4.123105625617661,Heavy Crack
00138,3.1240998703626617,Heavy Crack,3.676955262170047,Heavy Crack,3.4000000000000004,Heavy Crack
00139,5.047771785649585,Heavy Crack,5.720139858430037,Heavy Crack,5.800000000000001,Heavy Crack
00140,5.280151512977635,Heavy Crack,6.092618484691127,Heavy Crack,5.824087911424415,Heavy Crack
00141,2.863564212655271,Heavy Crack,4.25205832509386,Heavy Crack,2.8284271247461903,Heavy Crack
00142,2.973213749463701,Heavy Crack,4.280186911806539,Heavy Crack,2.778488797889961,Heavy Crack
00143,2.778488797889961,Heavy Crack,4.47213595499958,Heavy Crack,2.4738633753705965,Heavy Crack
00144,3.82099463490856,Heavy Crack,7.725283166331187,Heavy Crack,3.1240998703626617,Heavy Crack
00145,6.449806198638839,Heavy Crack,12.021647141718976,Heavy Crack,4.560701700396552,Heavy Crack
00146,8.032434251209281,Heavy Crack,12.041594578792296,Heavy Crack,4.294182110716778,Heavy Crack
00147,1.341640786499874,Medium Crack,1.6124515496597098,Medium Crack,1.8973665961010278,Medium Crack
00148,1.4142135623730951,Medium Crack,2.4166091947189146,Heavy Crack,2.23606797749979,Heavy Crack
